OperatorRef,LineName,JourneyRef
BLUS,1,2011
FLDS,75,2034
TFLO,78,433273
FECS,X22,85
FCYM,302,1900
ENSB,X80,1730
SCCU,1,33
TFLO,8,235107
WDBC,6,1710
TFLO,337,156958
FSYO,24,2004C
TFLO,8,235157
FCWL,17,54
DAMY,187,1711
TFLO,109,66042
SDVN,55,54
TFLO,C10,618014
WBTR,18,610
TFLO,142,52086
CTNY,194,1705
TFLO,44,623074
GONW,17,0157
FSRV,636,1345
SCCU,555,29
AMID,158,1054
BNGN,572,1043
SCSO,30,93
SVCT,9,4381
SCEM,3N,250
TFLO,86,603457
SWWD,PR15,1821
TFLO,37,502232
TFLO,419,248981
TCVW,20,193
IPSW,13,141
SCEK,1,97
EYMS,23,2328
SCNH,16,109
SWWD,X4,2110
SCSO,51,80
SCMN,237,7072
TFLO,22,100397
FALC,408,1510
SCMY,14,85
FLDS,19,2054
SCSO,700,451
FSYO,141,1812
TNXB,2,155
FLDS,15,1955
DTCO,118,1830
TFLO,158,596584
TFLO,216,542239
ARBB,Z,1171
DGTR,X4,1815
BORD,X62,1935
ARBB,X7,1063
TFLO,341,152683
FCYM,124,1929
SDVN,UNI,72
TNXB,79,148
SCNH,X91,60
METR,410,56
FSYO,81,0531
SCSO,1,123
GNEL,20A,2112
FSYO,8,2054
TFLO,406,228503
FPOT,6,2026
TFLO,6,493190
FBRA,630,1826
TFLO,60,41909
TFLO,W4,588366
TFLO,295,640299
SNDR,X55,1640
FESX,C1,153
TFLO,297,662129
SBS,96,1740
GNEL,21,2274
SCNH,16,98
TFLO,60,41979
FBRA,X11,41
SCEM,3,1123
SCMN,76,132
GNEL,49,5015
SCNH,20A,1
SSWL,23,133
SCEK,102,104
ARHE,310,1118
SCSO,25,21
SCGL,9,31
FMAN,348,1956
SCMY,5,1
SCEM,14,1051
TFLO,R9,210347
GNEL,85,539
TFLO,165,679868
TFLO,64,408313
ARBB,F70,1126
GNEL,6,658
PVRN,773,1850
TFLO,U3,706234
TFLO,107,329039
VISB,94,1734
FALC,557,1830
