RecordedAtTime,ResponseTimestamp,Latency,OperatorRef
2024-02-23 14:28:02+00:00,2024-02-23 14:29:16.049163+00:00,74.049163,SWCO
2024-02-23 14:43:21+00:00,2024-02-23 14:44:34.891324+00:00,73.891324,SCGL
2024-02-23 14:43:53+00:00,2024-02-23 14:45:06.627498+00:00,73.627498,TDTR
2024-02-23 14:10:18+00:00,2024-02-23 14:11:31.606331+00:00,73.606331,FBRI
2024-02-23 13:33:23+00:00,2024-02-23 13:34:35.773430+00:00,72.77343,SWWD
2024-02-23 14:39:10+00:00,2024-02-23 14:40:22.110111+00:00,72.110111,FSRV
2024-02-23 14:52:43+00:00,2024-02-23 14:53:54.801857+00:00,71.801857,TDTR
2024-02-23 13:56:51+00:00,2024-02-23 13:58:01.829243+00:00,70.829243,FRMN
2024-02-23 14:02:49+00:00,2024-02-23 14:03:59.745031+00:00,70.745031,SWWD
2024-02-23 13:34:28+00:00,2024-02-23 13:35:38.661482+00:00,70.661482,FSRV
2024-02-23 13:35:42+00:00,2024-02-23 13:36:52.032252+00:00,70.032252,SWWD
2024-02-23 14:24:15+00:00,2024-02-23 14:25:23.726419+00:00,68.726419,PULH
2024-02-23 13:49:42+00:00,2024-02-23 13:50:50.724500+00:00,68.7245,SCGL
2024-02-23 13:31:12+00:00,2024-02-23 13:32:19.608194+00:00,67.608194,FRMN
2024-02-23 14:56:29+00:00,2024-02-23 14:57:36.585139+00:00,67.585139,NATX
2024-02-23 14:55:47+00:00,2024-02-23 14:56:54.380504+00:00,67.380504,SWWD
2024-02-23 13:54:06+00:00,2024-02-23 13:55:13.020208+00:00,67.020208,TDTR
2024-02-23 14:05:41+00:00,2024-02-23 14:06:47.676480+00:00,66.67648,SWWD
2024-02-23 14:23:14+00:00,2024-02-23 14:24:20.589005+00:00,66.589005,TDTR
2024-02-23 14:45:14+00:00,2024-02-23 14:46:20.390620+00:00,66.39062,NATX
2024-02-23 13:50:37+00:00,2024-02-23 13:51:43.231807+00:00,66.231807,SCGL
2024-02-23 13:54:28+00:00,2024-02-23 13:55:34.079073+00:00,66.079073,FSRV
2024-02-23 14:26:56+00:00,2024-02-23 14:28:02.022131+00:00,66.022131,SWCO
2024-02-23 14:43:50+00:00,2024-02-23 14:44:56.014863+00:00,66.014863,TDTR
